condition,self_competition,n_tf,combo_id,seed,pearson_r,r_squared,rmse_delta_log2,total_sse_score,rates_file
self_off,False,3,combo063_ATF1-ATF4-ATF7,0,-0.021031904479202435,0.00044234100602229547,0.6575994592204583,229180.0,outputs/figure3/runs/self_off_n03_combo063_ATF1-ATF4-ATF7_seed00_rates.txt
self_off,False,4,combo064_CREB1-CREB3-CREB5-CREM,0,0.8550209176849759,0.7310607696788584,0.22849188988426572,51841.0,outputs/figure3/runs/self_off_n04_combo064_CREB1-CREB3-CREB5-CREM_seed00_rates.txt
self_off,False,4,combo065_CREB1-CREB3-CREB5-ATF1,0,0.7913109427385153,0.6261730080977179,0.27063818867598616,64168.0,outputs/figure3/runs/self_off_n04_combo065_CREB1-CREB3-CREB5-ATF1_seed00_rates.txt
self_off,False,4,combo066_CREB1-CREB3-CREB5-ATF4,0,0.8247402871157685,0.6801965411918003,0.2468494973662157,58790.0,outputs/figure3/runs/self_off_n04_combo066_CREB1-CREB3-CREB5-ATF4_seed00_rates.txt
self_off,False,4,combo067_CREB1-CREB3-CREB5-ATF7,0,0.8329412277095354,0.6937910888182681,0.2383334557313208,56831.0,outputs/figure3/runs/self_off_n04_combo067_CREB1-CREB3-CREB5-ATF7_seed00_rates.txt
self_off,False,4,combo068_CREB1-CREB3-CREM-ATF1,0,0.8398447022724327,0.7053391239350711,0.23651416484722732,55030.0,outputs/figure3/runs/self_off_n04_combo068_CREB1-CREB3-CREM-ATF1_seed00_rates.txt
self_off,False,4,combo069_CREB1-CREB3-CREM-ATF4,0,0.8437305057440675,0.7118811663231399,0.23262474151366466,53455.0,outputs/figure3/runs/self_off_n04_combo069_CREB1-CREB3-CREM-ATF4_seed00_rates.txt
self_off,False,4,combo070_CREB1-CREB3-CREM-ATF7,0,0.8548586905823944,0.7307833808642459,0.2260550680132627,51730.0,outputs/figure3/runs/self_off_n04_combo070_CREB1-CREB3-CREM-ATF7_seed00_rates.txt
self_off,False,4,combo071_CREB1-CREB3-ATF1-ATF4,0,0.7142982255259231,0.5102219549894825,0.31308978005861754,83635.0,outputs/figure3/runs/self_off_n04_combo071_CREB1-CREB3-ATF1-ATF4_seed00_rates.txt
self_off,False,4,combo072_CREB1-CREB3-ATF1-ATF7,0,0.7610750372649959,0.579235212347915,0.2987422412191343,72499.0,outputs/figure3/runs/self_off_n04_combo072_CREB1-CREB3-ATF1-ATF7_seed00_rates.txt
self_off,False,4,combo073_CREB1-CREB3-ATF4-ATF7,0,0.5609423904520104,0.3146563654060157,2.0006004479430746,198570.0,outputs/figure3/runs/self_off_n04_combo073_CREB1-CREB3-ATF4-ATF7_seed00_rates.txt
self_off,False,4,combo074_CREB1-CREB5-CREM-ATF1,0,0.7741261455889953,0.5992712892844744,0.28411250988015396,67745.0,outputs/figure3/runs/self_off_n04_combo074_CREB1-CREB5-CREM-ATF1_seed00_rates.txt
self_off,False,4,combo075_CREB1-CREB5-CREM-ATF4,0,0.794508314133596,0.6312434612274089,0.2745779705298591,65734.0,outputs/figure3/runs/self_off_n04_combo075_CREB1-CREB5-CREM-ATF4_seed00_rates.txt
self_off,False,4,combo076_CREB1-CREB5-CREM-ATF7,0,0.8461579548215858,0.7159832845078489,0.23386591743269777,53447.0,outputs/figure3/runs/self_off_n04_combo076_CREB1-CREB5-CREM-ATF7_seed00_rates.txt
self_off,False,4,combo077_CREB1-CREB5-ATF1-ATF4,0,0.6650979572877092,0.4423552927882834,0.34779852624417246,82000.0,outputs/figure3/runs/self_off_n04_combo077_CREB1-CREB5-ATF1-ATF4_seed00_rates.txt
self_off,False,4,combo078_CREB1-CREB5-ATF1-ATF7,0,0.6411887922882619,0.41112306735607984,0.3443369010228599,87455.0,outputs/figure3/runs/self_off_n04_combo078_CREB1-CREB5-ATF1-ATF7_seed00_rates.txt
self_off,False,4,combo079_CREB1-CREB5-ATF4-ATF7,0,0.7732136963456908,0.5978594202165661,0.2838608866905577,75528.0,outputs/figure3/runs/self_off_n04_combo079_CREB1-CREB5-ATF4-ATF7_seed00_rates.txt
self_off,False,4,combo080_CREB1-CREM-ATF1-ATF4,0,0.8320453453640206,0.6922994567419324,0.2502978421702755,56836.0,outputs/figure3/runs/self_off_n04_combo080_CREB1-CREM-ATF1-ATF4_seed00_rates.txt
self_off,False,4,combo081_CREB1-CREM-ATF1-ATF7,0,0.8489708620953996,0.7207515246870061,0.2371088566386241,53706.0,outputs/figure3/runs/self_off_n04_combo081_CREB1-CREM-ATF1-ATF7_seed00_rates.txt
self_off,False,4,combo082_CREB1-CREM-ATF4-ATF7,0,0.8468948967156048,0.7172309660829349,0.235865730210516,54038.0,outputs/figure3/runs/self_off_n04_combo082_CREB1-CREM-ATF4-ATF7_seed00_rates.txt
self_off,False,4,combo083_CREB1-ATF1-ATF4-ATF7,0,0.7263910865545615,0.5276440106259165,0.311601497223528,73249.0,outputs/figure3/runs/self_off_n04_combo083_CREB1-ATF1-ATF4-ATF7_seed00_rates.txt
self_off,False,4,combo084_CREB3-CREB5-CREM-ATF1,0,0.7834725443675008,0.6138292277776856,0.2794443156339318,66817.0,outputs/figure3/runs/self_off_n04_combo084_CREB3-CREB5-CREM-ATF1_seed00_rates.txt
self_off,False,4,combo085_CREB3-CREB5-CREM-ATF4,0,0.6411559632089754,0.411080969158429,0.3737387316523852,95387.0,outputs/figure3/runs/self_off_n04_combo085_CREB3-CREB5-CREM-ATF4_seed00_rates.txt
self_off,False,4,combo086_CREB3-CREB5-CREM-ATF7,0,0.7787054920258552,0.6063822433112291,0.2790311789182828,68229.0,outputs/figure3/runs/self_off_n04_combo086_CREB3-CREB5-CREM-ATF7_seed00_rates.txt
self_off,False,4,combo087_CREB3-CREB5-ATF1-ATF4,0,0.7237795577368518,0.5238568481977527,0.3041716545505976,79012.0,outputs/figure3/runs/self_off_n04_combo087_CREB3-CREB5-ATF1-ATF4_seed00_rates.txt
self_off,False,4,combo088_CREB3-CREB5-ATF1-ATF7,0,0.7398303633528581,0.547348966538822,0.3017022402248343,77476.0,outputs/figure3/runs/self_off_n04_combo088_CREB3-CREB5-ATF1-ATF7_seed00_rates.txt
self_off,False,4,combo089_CREB3-CREB5-ATF4-ATF7,0,0.7366986641651362,0.5427249217826962,0.30213417286160343,81203.0,outputs/figure3/runs/self_off_n04_combo089_CREB3-CREB5-ATF4-ATF7_seed00_rates.txt
self_off,False,4,combo090_CREB3-CREM-ATF1-ATF4,0,0.6955254325793553,0.4837556273646993,0.31814435917152467,86812.0,outputs/figure3/runs/self_off_n04_combo090_CREB3-CREM-ATF1-ATF4_seed00_rates.txt
self_off,False,4,combo091_CREB3-CREM-ATF1-ATF7,0,0.7709550160291931,0.5943716367405735,0.27774265276803217,69657.0,outputs/figure3/runs/self_off_n04_combo091_CREB3-CREM-ATF1-ATF7_seed00_rates.txt
self_off,False,4,combo092_CREB3-CREM-ATF4-ATF7,0,0.7651329919855688,0.5854284954247886,0.2897873627325048,71622.0,outputs/figure3/runs/self_off_n04_combo092_CREB3-CREM-ATF4-ATF7_seed00_rates.txt
self_off,False,4,combo093_CREB3-ATF1-ATF4-ATF7,0,0.6836321136875843,0.46735286686495414,0.32869309764457955,87372.0,outputs/figure3/runs/self_off_n04_combo093_CREB3-ATF1-ATF4-ATF7_seed00_rates.txt
self_off,False,4,combo094_CREB5-CREM-ATF1-ATF4,0,0.7359178093114666,0.5415750220617881,0.3132339131484322,76728.0,outputs/figure3/runs/self_off_n04_combo094_CREB5-CREM-ATF1-ATF4_seed00_rates.txt
self_off,False,4,combo095_CREB5-CREM-ATF1-ATF7,0,0.7727670805344792,0.5971689607577823,0.2986481158653456,70028.0,outputs/figure3/runs/self_off_n04_combo095_CREB5-CREM-ATF1-ATF7_seed00_rates.txt
self_off,False,4,combo096_CREB5-CREM-ATF4-ATF7,0,0.5354864468638932,0.28674573477491716,1.9911135411795147,165880.0,outputs/figure3/runs/self_off_n04_combo096_CREB5-CREM-ATF4-ATF7_seed00_rates.txt
self_off,False,4,combo097_CREB5-ATF1-ATF4-ATF7,0,0.10690690623150831,0.01142908659999251,0.5319672693806129,191830.0,outputs/figure3/runs/self_off_n04_combo097_CREB5-ATF1-ATF4-ATF7_seed00_rates.txt
self_off,False,4,combo098_CREM-ATF1-ATF4-ATF7,0,0.6826007929421242,0.46594384252521664,0.3319887703784306,86221.0,outputs/figure3/runs/self_off_n04_combo098_CREM-ATF1-ATF4-ATF7_seed00_rates.txt
self_off,False,5,combo099_CREB1-CREB3-CREB5-CREM-ATF1,0,0.8581346584352407,0.7363950920077673,0.22971399464207462,49784.0,outputs/figure3/runs/self_off_n05_combo099_CREB1-CREB3-CREB5-CREM-ATF1_seed00_rates.txt
self_off,False,5,combo100_CREB1-CREB3-CREB5-CREM-ATF4,0,0.8450036964956468,0.7140312470913072,0.23198965999025126,52861.0,outputs/figure3/runs/self_off_n05_combo100_CREB1-CREB3-CREB5-CREM-ATF4_seed00_rates.txt
